,eating_survey.cognitive_restraint,eating_survey.emotional_eating,eating_survey.uncontrolled_eating
s166,50.0,11.1111111111,18.5185185185
s167,33.3333333333,100.0,70.3703703704
s168,16.6666666667,11.1111111111,48.148148148100006
s169,72.2222222222,0.0,14.8148148148
s170,22.2222222222,11.1111111111,7.4074074074
s171,50.0,66.6666666667,55.5555555556
s172,11.1111111111,77.7777777778,59.2592592593
s173,38.8888888889,0.0,22.2222222222
s174,66.6666666667,0.0,3.7037037037
s175,27.7777777778,33.3333333333,33.3333333333
s176,5.5555555556,66.6666666667,59.2592592593
s177,38.8888888889,44.4444444444,48.148148148100006
s178,33.3333333333,100.0,70.3703703704
s179,22.2222222222,77.7777777778,55.5555555556
s180,61.111111111099994,11.1111111111,25.925925925900003
s181,27.7777777778,88.8888888889,62.962962963
s182,33.3333333333,66.6666666667,66.6666666667
s183,22.2222222222,33.3333333333,33.3333333333
s184,55.5555555556,55.5555555556,25.925925925900003
s185,11.1111111111,0.0,0.0
s186,11.1111111111,11.1111111111,44.4444444444
s187,55.5555555556,44.4444444444,55.5555555556
s188,16.6666666667,22.2222222222,48.148148148100006
s189,44.4444444444,44.4444444444,37.037037037
s190,38.8888888889,33.3333333333,22.2222222222
s191,61.111111111099994,33.3333333333,29.6296296296
s192,33.3333333333,0.0,11.1111111111
s193,72.2222222222,0.0,7.4074074074
s194,38.8888888889,77.7777777778,66.6666666667
s195,33.3333333333,44.4444444444,25.925925925900003
s196,61.111111111099994,22.2222222222,25.925925925900003
s197,66.6666666667,55.5555555556,33.3333333333
s198,44.4444444444,33.3333333333,33.3333333333
s199,0.0,0.0,44.4444444444
s200,16.6666666667,44.4444444444,25.925925925900003
s201,61.111111111099994,66.6666666667,37.037037037
s202,100.0,11.1111111111,29.6296296296
s203,77.7777777778,33.3333333333,37.037037037
s204,55.5555555556,0.0,25.925925925900003
s205,44.4444444444,33.3333333333,33.3333333333
s206,16.6666666667,33.3333333333,22.2222222222
s207,27.7777777778,0.0,11.1111111111
s208,38.8888888889,100.0,70.3703703704
s209,38.8888888889,0.0,11.1111111111
s210,0.0,0.0,14.8148148148
s211,33.3333333333,22.2222222222,29.6296296296
s212,50.0,0.0,25.925925925900003
s213,5.5555555556,0.0,11.1111111111
s214,50.0,33.3333333333,40.740740740700005
s215,33.3333333333,22.2222222222,11.1111111111
s216,16.6666666667,100.0,77.7777777778
s217,66.6666666667,66.6666666667,48.148148148100006
s218,77.7777777778,0.0,0.0
s219,16.6666666667,33.3333333333,59.2592592593
s220,66.6666666667,77.7777777778,66.6666666667
s221,94.4444444444,22.2222222222,33.3333333333
s222,16.6666666667,100.0,70.3703703704
s223,94.4444444444,33.3333333333,14.8148148148
s224,61.111111111099994,88.8888888889,74.0740740741
s225,55.5555555556,22.2222222222,14.8148148148
s226,38.8888888889,0.0,40.740740740700005
s227,44.4444444444,22.2222222222,37.037037037
s228,38.8888888889,66.6666666667,59.2592592593
s229,61.111111111099994,0.0,40.740740740700005
s230,38.8888888889,66.6666666667,59.2592592593
s231,44.4444444444,0.0,25.925925925900003
s232,72.2222222222,44.4444444444,37.037037037
s233,33.3333333333,44.4444444444,59.2592592593
s234,5.5555555556,100.0,85.1851851852
s235,72.2222222222,22.2222222222,25.925925925900003
s236,88.8888888889,0.0,18.5185185185
s237,33.3333333333,33.3333333333,33.3333333333
s238,61.111111111099994,33.3333333333,25.925925925900003
s239,44.4444444444,55.5555555556,33.3333333333
s240,33.3333333333,33.3333333333,44.4444444444
s241,16.6666666667,33.3333333333,25.925925925900003
s242,0.0,33.3333333333,22.2222222222
s243,5.5555555556,0.0,11.1111111111
s244,44.4444444444,66.6666666667,48.148148148100006
s245,33.3333333333,55.5555555556,40.740740740700005
s246,5.5555555556,22.2222222222,37.037037037
s247,55.5555555556,33.3333333333,37.037037037
s248,66.6666666667,55.5555555556,48.148148148100006
s249,50.0,44.4444444444,59.2592592593
s250,11.1111111111,0.0,3.7037037037
s251,61.111111111099994,0.0,18.5185185185
s252,22.2222222222,55.5555555556,29.6296296296
s253,72.2222222222,77.7777777778,59.2592592593
s254,66.6666666667,55.5555555556,59.2592592593
s255,83.3333333333,0.0,3.7037037037
s256,33.3333333333,77.7777777778,25.925925925900003
s257,66.6666666667,22.2222222222,22.2222222222
s258,44.4444444444,0.0,14.8148148148
s259,11.1111111111,0.0,55.5555555556
s260,44.4444444444,77.7777777778,33.3333333333
s261,94.4444444444,11.1111111111,22.2222222222
s262,55.5555555556,44.4444444444,37.037037037
s263,44.4444444444,55.5555555556,59.2592592593
s264,11.1111111111,44.4444444444,44.4444444444
s265,50.0,55.5555555556,40.740740740700005
s266,72.2222222222,22.2222222222,22.2222222222
s267,16.6666666667,11.1111111111,37.037037037
s268,27.7777777778,0.0,44.4444444444
s269,22.2222222222,0.0,33.3333333333
s270,0.0,0.0,7.4074074074
s271,16.6666666667,0.0,18.5185185185
s272,50.0,44.4444444444,55.5555555556
s273,11.1111111111,22.2222222222,18.5185185185
s274,16.6666666667,33.3333333333,29.6296296296
s275,61.111111111099994,0.0,14.8148148148
s276,5.5555555556,66.6666666667,51.851851851899994
s277,44.4444444444,0.0,11.1111111111
s278,66.6666666667,0.0,25.925925925900003
s279,44.4444444444,55.5555555556,59.2592592593
s280,5.5555555556,55.5555555556,44.4444444444
s282,66.6666666667,33.3333333333,11.1111111111
s283,77.7777777778,11.1111111111,51.851851851899994
s284,38.8888888889,33.3333333333,33.3333333333
s285,38.8888888889,55.5555555556,7.4074074074
s286,22.2222222222,0.0,14.8148148148
s288,50.0,55.5555555556,44.4444444444
s289,66.6666666667,0.0,3.7037037037
s290,16.6666666667,22.2222222222,37.037037037
